seriesdesc,seriestime,afd,rows,fov,voxelsize,contourname,suvmax,suvmin,suvmean,stdev,suvpeak,volume
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 08-03,1.0973188,0.7810565,0.9165368,0.0613265,,2.7540441
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 08-04,1.0842755,0.7459568,0.8944943,0.0601649,,2.8013349
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 08-05,1.0704994,0.8089749,0.919611,0.0555956,,2.7604928
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 09-01,1.1120473,0.8206992,0.9640145,0.0532806,,2.7996154
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 09-02,1.1398193,0.8456132,0.9699149,0.0503676,,2.77597
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 09-03,1.0783401,0.8677428,0.9575791,0.0454116,,2.7312586
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 09-04,1.0453656,0.8080956,0.941249,0.0471117,,2.7940264
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 09-05,1.0754822,0.8064834,0.9580023,0.0546029,,2.7480254
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 10-01,1.1080171,0.9159589,1.002447,0.0345805,,2.8095033
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 10-02,1.0803185,0.8461995,0.9806497,0.0436885,,2.7996154
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 10-03,1.1010559,0.8338889,0.9505751,0.046345,,2.7312586
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 10-04,1.1186422,0.8492038,0.9689931,0.0449145,,2.77511
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 10-05,1.1364484,0.8414364,0.9845697,0.055881,,2.7652221
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Ins - 01 - Spheres,0.1131392,0.0244012,0.0497886,0.0133581,,23.3874493
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Ins - 02 - Background,0.111234,0.0297504,0.0517668,0.0126979,,21.8255634
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 01 - 37mm,4.4862199,1.2400618,3.4635561,0.7023418,4.1389961,26.6337471
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 02 - 28mm,4.5081296,1.1500779,3.3084021,0.7281468,4.0177889,11.6034422
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 03 - 22mm,4.5573716,1.3327568,3.096102,0.7377169,3.9598842,5.5029292
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 04 - 17mm,4.8021894,1.1978544,2.8047094,0.8549347,3.6067998,2.6001341
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 05 - 13mm,4.6619377,1.2692258,2.5914378,0.8079603,2.7028019,1.2084949
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 06 - 10mm,2.4538903,1.1409917,1.7747387,0.3031955,1.5529894,0.5227783
